location,bedroom,bathroom,area_m2,price_usd,Neighborhood
Runda,2.0,2.0,2.0,28000.0,"MOMBASA ROAD,Mombasa Road,Mombasa Road"
Runda,2.0,2.0,200.0,28000.0,"Links road,Links road,Ziwa La Ngombe,Nyali"
Runda,2.0,2.0,120.0,28000.0,"Nyali beach road,Nyali beach road,Nyali Area,Nyali"
Runda,2.0,2.0,2.0,28000.0,"Syokimau,Athi River"
Kilimani,5.0,5.0,240.0,200000.0,"Muringa Road,Kilimani,Dagoretti North"
Runda,2.0,2.0,2.0,28000.0,"Limuru Road,Ruaka,Kiambaa"
Runda,1.0,1.0,1.0,30000.0,"Kisumu West,Kisumu West"
Runda,2.0,1.0,35.0,30000.0,"Thindigua,Tsavo Apartments,Kiambu Road,Kiambu Road"
Runda,2.0,2.0,9.0,30000.0,"Phase 2,Thika East,Thika East"
Runda,1.0,1.0,1.0,30000.0,"Karen,Karen,Langata"
Runda,2.0,2.0,125.0,30000.0,"Limuru Road,Ruaka,Kiambaa"
Runda,2.0,2.0,2.0,30000.0,"Limuru Road,Ruaka,Kiambaa"
Westlands,1.0,1.0,1.0,30000.0,"3rd,3rd avenue,Parklands,Westlands"
Runda,3.0,3.0,2500.0,30000.0,"Links road,Links road,Ziwa La Ngombe,Nyali"
Runda,2.0,3.0,1012.0,30000.0,"mtwapa,Mtwapa,Kilifi South"
Runda,1.0,1.0,1.0,30000.0,"NA,Racecourse,Ngong Road,Ngong Road"
Runda,1.0,1.0,6071.0,30000.0,"Limuru Road,Ruaka,Kiambaa"
Runda,3.0,2.0,3.0,30000.0,"Syokimau,Athi River"
Westlands,2.0,2.0,150.0,175000.0,"Thigiri,Westlands"
Westlands,3.0,5.0,3.0,145000.0,"Riverside Drive,Riverside,Westlands"
Runda,2.0,2.0,2.0,30000.0,"Mombasa Road,Mombasa Road"
Runda,2.0,2.0,2.0,30000.0,"Maziwa rd,Imara Daima,Embakasi"
Runda,2.0,2.0,2.0,30000.0,"Mwimuto,Kiambu Town,Kiambu Town"
Runda,2.0,2.0,2.0,32000.0,"Ruaka,Kiambaa"
Runda,1.0,1.0,1.0,32000.0,"Ngong Rd,Ngong Road,Ngong Road"
Runda,2.0,2.0,3035.0,32500.0,"Limuru Road,Ruaka,Kiambaa"
Runda,3.0,2.0,105.0,33000.0,"Five Star Gardens,5 Star Gardens Off Airport View Road,Syokimau,Athi River"
Runda,3.0,2.0,3.0,33000.0,"Near Watakatifu Centre,Kahara Road,Ngong,Kajiado North"
Runda,3.0,3.0,3.0,33500.0,"Kisumu Road,Eldoret North,Eldoret North"
Runda,2.0,3.0,2.0,35000.0,"Kiamumbi,Windsor,Kiambu Constituency"
Runda,1.0,1.0,120.0,35000.0,"Kiambu Road,Kiambu Road"
Kileleshwa,2.0,2.0,2.0,130000.0,"Laikipia Road,Kileleshwa,Dagoretti North"
Runda,1.0,1.0,80.0,35000.0,"Migaa,Kiambu Road,Kiambu Road"
Runda,3.0,2.0,3.0,35000.0,"Beijing Road,Off Mombasa Road,Syokimau,Athi River"
Runda,2.0,2.0,2.0,35000.0,"Imara Daima,Embakasi"
Westlands,2.0,2.0,300.0,35000.0,"Lower Kabete,Westlands"
Runda,2.0,2.0,130.0,35000.0,"Limuru Road,Ruaka,Kiambaa"
Runda,2.0,2.0,2.0,35000.0,"Kahawa Sukari,Roysambu"
Runda,2.0,1.0,55.0,35000.0,"Langata Area,Langata"
Runda,3.0,2.0,2500.0,35000.0,"Mamba village,Off links road,Nyali Area,Nyali"
Runda,2.0,2.0,2.0,35000.0,"Imara Daima,Embakasi"
Runda,3.0,2.0,3.0,35000.0,"BEIJING ROAD,Syokimau,Athi River"
Runda,3.0,2.0,3.0,35000.0,"Nyayo Estate,Baraka/Nyayo,Embakasi"
Runda,3.0,3.0,3.0,35000.0,"Syokimau,Athi River"
Lavington,3.0,3.0,250.0,90000.0,"Dennis Pritt,Lavington,Dagoretti North"
Kilimani,3.0,3.0,3.0,100000.0,"Lenana road,Kilimani,Dagoretti North"
Runda,2.0,1.0,125.0,35000.0,"Limuru Road,Ruaka,Kiambaa"
Runda,2.0,2.0,2000.0,35000.0,"Mkomani,Mkomani,Mkomani,Nyali"
Westlands,1.0,1.0,2000.0,35000.0,"Westlands Area,Westlands"
Runda,3.0,2.0,3.0,35000.0,"Syokimau,Athi River"
Runda,2.0,2.0,85.0,35750.0,"Tatu City,Unity West,Ruiru,Ruiru"
Runda,2.0,2.0,2.0,37000.0,"Gacharage,Ruaka,Kiambaa"
Runda,2.0,2.0,2.0,38000.0,"Hellen Drive,Ruaka,Kiambaa"
Runda,2.0,2.0,2.0,38000.0,"Ruaka,Kiambaa"
Westlands,2.0,2.0,2.0,38000.0,"Thiong'o,Mountain View,Westlands"
Runda,3.0,2.0,3.0,38000.0,"Next To Uthiru Genesis Boarding School,Kinoo,Kabete"
Runda,2.0,2.0,45.0,38000.0,"Ruaka Joyland,Limuru Road,Ruaka,Kiambaa"
Runda,3.0,2.0,3.0,38000.0,"Ruaka,Kiambaa"
Westlands,2.0,1.0,2.0,38000.0,"Riverside Drive,Riverside,Westlands"
Runda,3.0,2.0,3.0,240000.0,"Kiambere Road,Upper Hill,Langata"
Kileleshwa,3.0,3.0,3.0,85000.0,"kikambala road,Kileleshwa,Dagoretti North"
Runda,1.0,1.0,1.0,38000.0,"Masaba Road,Upper Hill,Langata"
Runda,2.0,2.0,2.0,38000.0,"Ruaka,Kiambaa"
Runda,2.0,1.0,2.0,39000.0,"Mbagathi way,Ngumo Estate,Langata"
Runda,2.0,2.0,12000.0,40000.0,"Limuru road,Ruaka,Kiambaa"
Runda,3.0,2.0,120.0,40000.0,"Maloi Apartments,Masai Lodge Road,Ongata Rongai,Kajiado North"
Runda,3.0,3.0,2500.0,40000.0,"Next to premier hospital,Links road,Nyali Area,Nyali"
Runda,3.0,3.0,2500.0,40000.0,"Links road,Links road,Nyali Area,Nyali"
Runda,1.0,1.0,1.0,40000.0,"Naivasha Road,Naivasha Road,Dagoretti North"
Runda,2.0,2.0,2.0,40000.0,"Gacharage,Ruaka,Kiambaa"
Runda,2.0,2.0,2.0,40000.0,"Ngara,Starehe"
Runda,3.0,1.0,3.0,40000.0,"Ole Sangale,Madaraka,Langata"
Runda,3.0,2.0,2500.0,40000.0,"beach road,Nyali Area,Nyali"
Runda,2.0,2.0,2.0,40000.0,"Naivasha Road,Dagoretti North"
Runda,2.0,2.0,2.0,40000.0,"kiambu road,Thindigua,Thindigua"
Runda,2.0,2.0,2.0,40000.0,"kiambu road,Thindigua,Thindigua"
Kilimani,1.0,1.0,1.0,40000.0,"kilimani,kilimani,Kilimani,Dagoretti North"
Westlands,3.0,1.0,3.0,40000.0,"Parklands,Westlands"
Runda,2.0,2.0,90.0,40000.0,"Kamiti,Kiambaa"
Runda,2.0,1.0,2.0,40000.0,"Madaraka,Langata"
Runda,2.0,2.0,100.0,40000.0,"Ruaka,Kiambaa"
Runda,2.0,2.0,4000.0,40000.0,"Limuru Road,Ruaka,Kiambaa"
Runda,2.0,2.0,2.0,40000.0,"Limuru Road,Ruaka,Kiambaa"
Runda,3.0,2.0,3.0,40000.0,"Limuru Road,Ruaka,Kiambaa"
